,name,address,sido,gungu
0,판교테크노밸리점(치킨앤비어),"경기도 성남시 분당구 판교역로 231에스동 1층 121호(삼평동, 에이치스퀘어)",경기도,성남시
1,소래포구점(치킨앤비어),"인천광역시 남동구 소래역로46번길 20 (논현동, 로하1층 107,108호",인천광역시,남동구
2,BBQ부산명륜점,"부산광역시 동래구 명륜로 175 (명륜동, 대월오피스텔101호",부산광역시,동래구
3,장산역점(올리브카페),부산광역시 해운대구 해운대로 802 (웅신시네아트 B동,부산광역시,해운대구
4,천안성정점(치킨앤비어),충청남도 천안시 서북구 성정공원5로 371층 103호(성정동),충청남도,천안시
5,율량2지구점(올리브카페),충청북도 청주시 청원구 율봉로 2721층 103호(율량동),충청북도,청주시
6,미사강변점(올리브카페),"경기도 하남시 미사강변대로 55-12308동 상가 101호, 102호(풍산동, 미사강변더샵센트럴포레)",경기도,하남시
7,경주안강점(치킨앤비어),경상북도 경주시 안강읍 구부랑4길 11,경상북도,경주시
8,이대점(올리브카페),"서울특별시 서대문구 이화여대5길 351층 115호(대현동,신촌영타운 지웰)",서울특별시,서대문구
9,패밀리타운점,서울 송파구 문정동150-25호 1층,서울특별시,송파구
10,가락점,서울 송파구 가락동90-3,서울특별시,송파구
11,송파법조타운점,"서울특별시 송파구 법원로 114 (문정동, 엠스테이트)C동 225호",서울특별시,송파구
12,문정점(3)(올리브카페),서울특별시 송파구 동남로4길 16-1 (문정동)1층,서울특별시,송파구
13,송파점,서울 송파구 송파동100-1 1층,서울특별시,송파구
14,가락2점,서울 송파구 가락2동190-7번지  1층,서울특별시,송파구
15,파인타운점,"서울특별시 송파구 새말로6길 49 (문정동, 석재빌)1층",서울특별시,송파구
16,방이점,"서울 송파구 방이동126-13, 1층 (가락로36길 6, 방이동)",서울특별시,송파구
17,석촌2점,서울 송파구 석촌동156-6,서울특별시,송파구
