,name,address,sido,gungu
0,강원강릉시내곡점,강원강릉시범일로579번길49-2,강원도,강릉시
1,강원강릉시사천해변점,강원도강릉시사천면진리해변길99,강원도,강릉시
2,강원강릉시솔올점,강원강릉시원대로155,강원도,강릉시
3,강원강릉시입암점,강원강릉시강변로410번길36,강원도,강릉시
4,강원강릉시주문진점,강원강릉시주문진읍주문로11,강원도,강릉시
5,강원강릉시초당점,강원강릉시초당원길19,강원도,강릉시
6,강원강릉시포남1점,강원강릉시가작로287번길7,강원도,강릉시
7,강원강릉시홍제점,강원도강릉시홍제로33,강원도,강릉시
8,강원동해시망상점,강원동해시동해대로6270-31,강원도,동해시
9,강원동해시부곡점,강원동해시발한로96,강원도,동해시
10,강원동해시천곡점,강원동해시한섬로18,강원도,동해시
11,강원동해시효가점,강원동해시동해대로5033,강원도,동해시
12,강원삼척시교동점,강원삼척시정상로10-6,강원도,삼척시
13,강원속초시교동점,강원속초시수복로74,강원도,속초시
14,강원속초시금호점,강원속초시미시령로3473,강원도,속초시
15,강원속초시조양점,강원속초시동해대로3996,강원도,속초시
16,강원양구군동면점,강원도양구군동면금강산로1681,강원도,양구군
17,강원양구군방산점,강원도양구군방산면장거리길18,강원도,양구군
18,강원양구군양구점,강원양구군양구읍중앙길12,강원도,양구군
19,강원양양군양양점,강원양양군양양읍양양로83-1,강원도,양양군
20,강원양양군하조대점,강원양양군현북면조준길6,강원도,양양군
21,강원영월군영월점,강원영월군영월읍은행나무길58,강원도,영월군
22,강원원주시개운단구점,강원원주시서원대로383,강원도,원주시
23,강원원주시단계점,강원원주시원문로146,강원도,원주시
24,강원원주시단관점,강원원주시단관초교길9,강원도,원주시
25,강원원주시명륜점,강원원주시남산로30,강원도,원주시
26,강원원주시무실점,강원원주시섬밭들2길16-2,강원도,원주시
27,강원원주시문막점,강원원주시문막읍건등로40-3,강원도,원주시
28,강원원주시반곡봉산점,강원원주시반곡길47,강원도,원주시
29,강원원주시태장점,강원원주시북원로2704-4,강원도,원주시
30,강원원주시혁신도시점,강원원주시웅비2길8,강원도,원주시
31,강원인제군서화점[B],강원도인제군서화면천도로126번길6,강원도,인제군
32,강원인제군신남점,강원도인제군남면신남로23,강원도,인제군
33,강원인제군인제점,강원도인제군인제읍인제로197-1,강원도,인제군
34,강원인제군현리점,강원인제군기린면내린천로3905-1,강원도,인제군
35,강원정선군정선점,강원정선군정선읍봉양6길28,강원도,정선군
36,강원철원군내대리점,강원철원군갈말읍두루미로414,강원도,철원군
37,강원철원군동송점,강원도철원군동송읍금학로202,강원도,철원군
38,강원철원군신철원점,강원도철원군갈말읍삼부연로17번길3-14,강원도,철원군
39,강원철원군와수리점,강원도철원군서면와수로181번길7-16,강원도,철원군
40,강원철원군자등리점,강원도철원군서면자등로578,강원도,철원군
41,강원철원군지경리점,강원도철원군갈말읍청양로81-1,강원도,철원군
42,강원춘천시강북점,강원춘천시충열로78-3,강원도,춘천시
43,강원춘천시교동후평점,강원도춘천시성심로23-1,강원도,춘천시
44,강원춘천시석사점,강원도춘천시우석로79번길4-1,강원도,춘천시
45,강원춘천시칠전송암점,강원춘천시옛경춘로492,강원도,춘천시
46,강원춘천시퇴계점,강원도춘천시춘주로187번길20-4,강원도,춘천시
47,강원춘천시효자점,강원춘천시서부대성로194,강원도,춘천시
48,강원태백시장성점,강원태백시장성로43-2,강원도,태백시
49,강원태백시태백점,강원태백시황지로238,강원도,태백시
50,강원평창군대관령점,강원평창군대관령면경강로5166,강원도,평창군
51,강원평창군봉평점,강원평창군봉평면태기로68,강원도,평창군
52,강원평창군장평점,강원평창군용평면경강로1663-1,강원도,평창군
53,강원평창군진부점,강원평창군진부면진부중앙로50,강원도,평창군
54,강원홍천군대명비발디점,강원도홍천군서면한치골길48,강원도,홍천군
55,강원홍천군시동점,강원홍천군남면시동리5번지5925부대내,강원도,홍천군
56,강원홍천군홍천점,강원도홍천군홍천읍갈마로4,강원도,홍천군
57,강원화천군다목리점,강원도화천군상서면수피령로1306,강원도,화천군
58,강원화천군사내점,강원화천군사내면사내로31,강원도,화천군
59,강원화천군산양리점,강원도화천군상서면영서로7740-4,강원도,화천군
60,강원화천군화천점,강원도화천군화천읍중앙로5,강원도,화천군
61,강원횡성군횡성점,강원횡성군횡성읍읍하로25번길14,강원도,횡성군
62,경기가평군가평점,경기도가평군가평읍석봉로230,경기도,가평군
63,경기가평군북면점,경기도가평군북면화악산로11번길5,경기도,가평군
64,경기가평군청평점,경기도가평군청평면잠곡로3,경기도,가평군
65,경기가평군현리점,경기도가평군하면현창로38번길2,경기도,가평군
66,경기고양시가좌점,경기고양시일산서구가좌1로38,경기도,고양시
67,경기고양시고양동점,경기도고양시덕양구혜음로56,경기도,고양시
68,경기고양시관산점,경기도고양시덕양구통일로780번길16,경기도,고양시
69,경기고양시능곡점,경기고양시덕양구행당로2,경기도,시흥시
70,경기고양시대화점,경기도고양시일산서구강성로214번길16-4,경기도,고양시
71,경기고양시덕이점,경기도고양시일산서구탄중로101번길60,경기도,고양시
72,경기고양시라페스타점,경기도고양시일산동구무궁화로7-45,경기도,고양시
73,경기고양시문촌점,경기도고양시일산서구킨텍스로340,경기도,고양시
74,경기고양시백마점,경기도고양시일산동구경의로309,경기도,고양시
75,경기고양시백석1점,경기도고양시일산동구백석로72번길22,경기도,고양시
76,경기고양시성사점,경기고양시덕양구마상로169,경기도,고양시
77,경기고양시성석점,경기도고양시일산동구성현로41-6,경기도,고양시
78,경기고양시식사동점,경기도고양시일산동구위시티2로33,경기도,고양시
79,경기고양시신원점,경기도고양시덕양구권율대로831판매시설동지1층103호,경기도,고양시
